Sno.,Requirements,Multi_Class,NewClass
712,only user who have been authorized for home access to corporate intranet may use co from noncompany location,Confidentiality,SR
713,system should preserve userâs privacy by not publishing monitored network traffic and not exposing userâs registered email address,Confidentiality,SR
714,app support insertion point encoding allowing user to obfuscate their payload to avoid detection,Functionality,SR
715,software system need robust security mechanism in place so that unauthorized user are not allowed access to part of system,Confidentiality,SR
716,system shall give user an option to reset forgotten password of an existing username by email,Authentication,SR
717,application is accurate enough in counting object even in challenging lighting when object are partially obscured,Accuracy,SR
718,retinadoc is consultation app which is not substitute to any kind of treatment thereby reducing loss damage and harm resulting from use of product,Confidentiality,SR
719,system embedding module well scanning tool will offer relatively good performance and resource behaviour due to implemented design which have efficiency in mind,Performance,SR
720,waiter password used for tablet login must have bitstrength of at least bit,Confidentiality,SR
721,system should offer secure single signon platform which will give access to different application that user is entitled to access,Authorization,SR
722,each user is to be configured with unique user name and password that can be changed when it is necessary,Authentication,SR
723,system shall optionally allow user to destroy suspectâs detail file or save them for future record in secure database,Functionality,SR
724,system shall ensure that embedding module well scanning tool will offer relatively good performance and resource behaviour due to design implemented with efficiency in mind,Performance,SR
725,system will develop security system that will reduce to minimum possibility of corruption from system andor human,Confidentiality,SR
726,system shall not experience slowdown during inputoutput and computationally intensive task such encryption and embedding or extraction,Performance,SR
727,using payload generated through ra attacker can exploit entire network to monitor network traffic and control it to modify packet moving through it,Functionality,SR
728,system should also be able to notify user if there is any change in condition ie drop or rise that is any anomaly should be notified to user of system,Functionality,SR
729,use of sl ha no harm nor doe it have any possibility of loss or damage to data of any external device connected to same wifi router,Confidentiality,SR
730,system database should be backed up continuously at least once every for hour in order to minimize data loss in case of catastrophic failure,Survivability,SR
731,system shall enable retrieval of watermark from image and displaying similarity of original image and watermarked image,Functionality,SR
732,responsible for contacting bank for validation of ac number provided by customer while purchasing and make transaction from given ac,Functionality,SR
733,analyzer are responsible for analyzing data collected by sensor and identifying potential security threat,Functionality,SR
734,system shall enable sorting of spam to usersâ junk email folder reporting mail archiving monitoring and pop downloading,Performance,SR
735,system shall detect instruction based on their signature and classify them according to severity,Functionality,SR
736,system shall be put under several test such stress testing such that there will be no error in verifying user,Performance,SR
737,system mailbox is responsible for displaying email of logged in user well all spam email and it will have dashboard to navigate through email,Functionality,SR
738,product shall protect identity of player product shall provide player no access to information that might reveal identity of another player,Performance,SR
739,system shall provide authentication by ensuring that agent compare watermark key on detected image with key already stored in agencyâs database,Authentication,SR
740,recommendation feature is one of core of system after identification of user emotional recommender ha to play it part in suggesting motivational thought tip exercise and meditation,Functionality,SR
741,system shall show report containing detailed result found in file submitted for analysis and will clearly indicate which file is malicious and which one is benign,IntrusionD,SR
742,product must be designed using design pattern and coding best practice of maintenance software developer are able to integrate new functionality into product with working day,Maintainability,SR
743,system shall enable implementation of clear secure data exchange protocol and document interface and protocol being utilized,Confidentiality,SR
744,decomposition of email control and detection engine into smaller module and component allows for more manageable and maintainable system,Maintainability,SR
745,system implement pdp scheme which allows user to audit and check if untrusted server or an adversary did not compromise integrity of uploaded data,Auditing,SR
746,system function an idsipd and aid in relieving traffic targeting server if distributed do attack occurs and server is flooded with request,IntrusionD,SR
747,list of dispute case that are displayed after search is performed must be color coded for easy identification of dispute case based upon dispute case status,Usability,SR
748,systemâs classification process shall be developed with dependability in mind so to produce accurate result through reduced margin of false negative and false positive,Performance,SR
749,product shall end game when hit by offensive player result in sinking last of defensive player ship which had not been previously marked sunk,Functionality,SR
750,maintenance release will be offered to customer once year release shall take no longer than minute for of customer base to install,Maintainability,SR
751,product shall be robustthe product shall have fault avoidance based on standard adoption,Fault Tolerance,SR
752,system shall allow user to log into or own account providing or own email address and password,Authentication,SR
753,system will be able to detect whether student in smoking or not if smoking system will generate warning to notify authority and will impose fine on student,Functionality,SR
754,system shall allow message digest message signature to be transmitted to recipient via email,Functionality,SR
755,to avoid any potential misuse or invasion of privacy it is crucial to stress that preservation and use of such information should be done in compliance with ethical and legal standard,Confidentiality,SR
756,system shall provide verification procedure where administrator will try to make contact with specific bus in order to verify whether an accident ha indeed taken place and level of response required,Functionality,SR
757,system shall be up and running all time since it checking or monitoring childâs behavior and prevent any medium from being sent or received using bluetooth,Availability,SR
758,system shall monitor cpu usage to detect spike in cpu usage caused by cryptojacking by constantly reading computerâs current cpu utilization percentage and compare it to cpu usage baseline and detect extreme spike or deviation from usual cpu usage baseline due to cryptojacking activity,IntrusionD,SR
759,system shall allow network traffic monitoring in realtime by capturing incoming and outgoing tcp http and tl web traffic in order to correlate it with configured cryptojacking blacklist,IntrusionD,SR
760,system doe not use much hardware and software hence it is not costly to maintain system and system doe not require maintenance regularly,Maintainability,SR
761,system ha got an audit or logging mechanism which enables user to check and view if there were other malicious activity that have been happening when after they logged out of system,Auditing,SR
762,system should allow use of strong password and different viewing level to control access to data to reduce unauthorized access to data,Authorization,SR
763,every user of software is provided unique login id and password which is stored in database hashed by sha algorithm,Confidentiality,SR
764,project utilizes rabbitmq reliable and efficient message broker that enables efficient routing and delivery of message between different application,Reliability,SR
765,system is dependable it is developed using highlevel language modern classifier and advanced datasets to detects spam but also reduces false negative,Performance,SR
766,dispute system must prevent external user from requesting original receipt request for original receipt are restricted to internal user,Functionality,SR
767,this system will be easy to maintain it will be deployed with documentation associated with it including code snippet which allows project to be transferable to another maintenance or updating,Maintainability,SR
768,system shall collect and analyse data that child is typing and if it capture certain keywords or continuous sequence of expletive it should send an alert through text to parent,Auditing,SR
769,user and admin if not blocked by system must be able to recover and then change password by answering secret question,Functionality,SR
770,system will have very low false positive rate so that it can correctly identify false positive call and differentiate them from real vulnerability one,Immunity,SR
771,coc is maintained by po that hand over evidence to holder and feed credential of evidence holder in case detail,Functionality,SR
772,system shall provide user with an interactive email client that will allow them to send receive and archive email with destiny folder that will separate legitimate email and illegitimate email,Functionality,SR
773,system shall collect suspicious traffic and ancillary information describes or characterizes traffic identifying distinct network connection or association connectionless traffic and including enough detail to assist criminal investigation and prosecution,Functionality,SR
774,system shall be able to collect and analyse data that child is typing and if it capture certain keywords or continuous sequence of expletive it should send an alert through text to parentâs smartphone,Functionality,SR
775,user and admin if logged into system must be able to set secret question and it answer contingency in case they forget password,Functionality,SR
776,system guarantee reliability and availability because tool used in developing system apache kafka and apache storm allows system to be resilient to failure and to be available all time,Availability,SR
777,system shall enable specific log from computer to be captured and faultlessly interfaced with webbased application with help of security mechanism including hmac and pgp,Auditing,SR
778,utilizing aiml technique and data set email control and detection engine classifies and score email based on their potential spamming nature,Functionality,SR
779,system is lightweight app which ha all algorithm and library engraved within itself for easy management of information which that app would be working with thus making it maintenance easy and simple,Maintainability,SR
780,system shall be able to ensure information provided include unique username password and some personal detail which are needed to verify that user is eligible to create an account,Authentication,SR
781,user and admin if registered must be able to enter their name id along with their password and authenticates themselves to enter system,Functionality,SR
782,retinadoc doe not have any kind of thirdparty security requirement yet any type of user can use it without any additional privilege,Confidentiality,SR
783,system shall allow user to set an emailchange password so that it will subsequently be requested when attempting to change set userâs email address,Authentication,SR
784,system shall allow whistleblower to send message digest message m signature using mobile phone to zimbabwe anticorruption commission,Functionality,SR
785,system shall allow whistleblower to send message digest message m signature using mobile phone to zimbabwe anticorruption commission,Functionality,SR
786,reliability of overall program depends on reliability of separate component main pillar of reliability of system is backup of database which is continuously maintained and updated to reflect most recent change,Fault Tolerance,SR
787,system isaas will have scalable speed to meet response time and performance target and it should be able to serve detection concurrently without any delay or unrealistic waiting time for response,Performance,SR
788,three option are provided here which are main feature of our app ie fake content detection toxic content detectionvoice cloning,Functionality,SR
789,system shall never display userâs password it shall always be echoed with special character representing typed character,Confidentiality,SR
790,only authorized user shall access rf system only user that exist in uas system with rf system assigned to their role shall access rf system and use it,Confidentiality,SR
791,dispute system shall accurately provide list of possible reason code for given transaction list of possible reason code must be derived based on type of transaction and industry that merchant belongs to according to business rule defined for dispute system,Functionality,SR
792,each team owner will need to use username and password in order to be authenticated to reach team owner page,Confidentiality,SR
793,product shall be updated on regular basisthe product will have new major feature introduced every six month and quarterly maintenance release every six month,Maintainability,SR
794,product shall provide dynamic change support and transparent resource additionthe product shall support transparent resource addition and dynamic change support to provide scalability and avoid service interruption of more than day,Performance,SR
795,system shall allow to create and enforce secure coding practice through strictly identifying source of required data identifying data item and data structure required for exchange,Functionality,SR
796,customer web browser shall never display customer password it shall always be echoed with special character representing typed character,Confidentiality,SR
797,system shall be able to create and enforce secure coding practice throughout development by strictly identifying originator of data that is required recognizing data item and data structure that are necessary for exchange,Functionality,SR
798,dispute application shall be available xx with exception of following scheduled maintenance window monday saturday am to am est sunday amd to am est,Operational,SR
799,system shall provide invisible digital watermarking devised with use of discrete cosine transformation which encompasses factor of complex computation and robustness,Functionality,SR
800,system shall enable verifying of signature using group public key so that it will be convinced that it actually came from organization without knowledge of actual singer,Authentication,SR
801,system shall allow recipient to verify signature using group public key so that they will be convinced that it actually came from organisation without knowledge of actual signer,Authentication,SR
802,system shall allow user to answer question on their profile after they are requested to fill in question at registration which will be used challenge question when password is forgotten,Authentication,SR
803,system shall allow zimbabwe anticorruption commission to verify signature using group public key so that it will be convinced that it actually came from organisation without knowledge of actual signer,Authentication,SR
804,product must comply with intranet page standard and requirement of enet security of product look feel will be approved by architecture group prior to implementation remaining will be corrected and approved within one month of product release,User-Friendly,SR
805,zimbabwe anticorruption commission then verifies signature using group public key so that it will be convinced that it actually came from organisation without knowledge of actual signer,Authentication,SR
806,user access should be limited to permission granted to their role each level in pcg hierarchy will be assigned role and user will be assigned to these role access to functionality within rf system is dependent on privilegespermission assigned to role,Confidentiality,SR
807,system shall provide authentication service which is tested when logging into django admin panel backend of system when user log into system by entering username and password created by entering command prompt when running manage code,Authentication,SR
808,dispute system shall allow user to create or initiate chargeback request system must prompt user to enter required information to initiate chargeback request chargeback request result in printed chargeback notification that is sent to merchant indicating that their account will be charged back if no proof is provided that disputed transaction is valid,Functionality,SR
809,system is easy to maintain it can easily be integrated with other system modified or reused on other different platform,Maintainability,SR
810,web interface is done using cs and bootstrap which make it possible to use system on mobile phone,Functionality,SR
811,system shall meet userâs need regarding ease of entry ease of learning ease of handling likability and possible metric usability,Usability,SR
812,system is developed using python programming which is platform independent meaning that it can be deployed used on any platform be it window linux or mac o,Portability,SR
813,pc will be used to run android forensics suite and android device will be connected to this pc using usb cable,Functionality,NSR
814,application will give user an array of tool that will allow for different type of data acquisition depending on choice eg call log sm message hardware detail etc,Functionality,NSR
815,relevant feature or characteristic of sign language gesture are extracted from preprocessed video data,Functionality,NSR
816,application will also give functionality to user to decode application data of certain application which are to be specified later,Functionality,NSR
817,slr application may also include feedback mechanism that allow user,Functionality,NSR
818,we are generating transcript using kaldis artificial speech and acoustic model,Functionality,NSR
819,web application should have unique and recognizable brand identity that reflects purpose of application,Functionality,NSR
820,system will display recognized sign language gesture in graphical format,Functionality,NSR
821,after sign language gesture are recognized next step is to convert them into text or speech output,Functionality,NSR
822,system shall allow user to delete email,Functionality,NSR
823,system shall allow user to check new email,Functionality,NSR
824,system must be portable in such way that it can be usable on different device with different screen size without difficulty,Portability,NSR
825,system shall allow user to learn operate prepare input and interpret output through interaction with software system easily without any complication,Usability,NSR
826,plutomail will have scalable speed to meet response time and performance target,Performance,NSR
827,once feature are extracted they are used to recognize sign language gesture,Functionality,NSR
828,system shall be able to serve multiple user concurrently without any delay or unrealistic waiting time for response,Performance,NSR
829,system shall be interactive and provides help information to help client and give them guidance on how to use system,Usability,NSR
830,system shall not keep data owner waiting for long time while waiting for it to process their request and respond,Performance,NSR
831,system shall be user friendly and make it easy for user to navigate through web material,Usability,NSR
832,pdp reduces amount of time and computational effort that would be required if data owner wa to download data and then check if data wa modified manually,Performance,NSR
833,system ha clearly defined link and button that show various functionality that user may require,Functionality,NSR
834,system is web based and therefore guarantee maximum availability of data to cloud data owner,Availability,NSR
835,system can perform well in web environment and also with huge file,Performance,NSR
836,system shall allow user to send email,Functionality,NSR
837,system shall simplify business operation,Performance,NSR
838,system shall be able to clearly identify relevant protocol for data exchange document or reference technical requirement for data exchange including source data item data structure timing method and protocol,Functionality,NSR
839,acquired video data is preprocessed to enhance it quality and reduce noise,Functionality,NSR
840,system must be considered downtime impact on business transport unavailability and minimizing unavailability,Availability,NSR
841,proposed system shall be designed such that any glitch can be fixed in no time to restore service to user and it will allow adding functionality easily,Maintainability,NSR
842,system shall be easy to learn that it operation can be learned by observing software or system,Usability,NSR
843,system shall be available to user all time to ensure service delivery and give result in short period of time,Availability,NSR
844,system shall allow user to listen for any port scan on university wifi network,IntrusionD,NSR
845,interface will have to satisfy these objective or requirement on any device and platform,Functionality,NSR
846,an interactive visual interface for user to communicate with chatbot,Functionality,NSR
847,for automatic switching relay are used,Functionality,NSR
848,system will ensure user have good experience of using system well their ability to quickly navigate self explanatory design of system,Usability,NSR
849,conveyor belt movement require dc gear motor themotor speed decrease torque increase,Functionality,NSR
850,system should be efficient to use and it take le time to accomplish particular task,Performance,NSR
851,camera of robot require degree movement sothewe can control rotation of camera,Functionality,NSR
852,system shall be able to allow cloud user to register and create an account,Functionality,NSR
853,system shall capture user detail such user name id number email address mobile number etc in registration process,Functionality,NSR
854,user is able to see select and copy adb stream in current connection,Functionality,NSR
855,user is able to see select and copy system message generated by process,Functionality,NSR
856,user is able to access power option like fastboot and samsung odin mode,Functionality,NSR
857,user is able to get adb shell access and run command on target device,Functionality,NSR
858,system shall be able to allow user to upload and download stored file system shall provide platform that allows user to upload file for storage and also to retrieve file by downloading them when required,Functionality,NSR
859,user is able to capture screen of android phone,Functionality,NSR
860,user is able to browse file on android system allowing him to download required file,Functionality,NSR
861,system can perform well in web environment and also with huge file,Performance,NSR
862,user can request admin for account creation,Functionality,NSR
863,system shall be efficient to use that it take le time to accomplish particular task,Performance,NSR
864,system can allow multiple client to login and save their file to remote server,Performance,NSR
865,user is able to connect and extract information from connected and unlocked android device and view information well perform operation of,Functionality,NSR
866,our system take all data from android device and store it an image,Functionality,NSR
867,system shall be available at all time meaning user can access it using device application which address user concern for how dependable system is during normal operating time,Availability,NSR
868,system is also easy to use and user friendly it is based and implemented on website and ha an interactive interface,Usability,NSR
869,database engine is basic software component that is used by database management system to search read and retrieve data from database,Functionality,NSR
870,system primary responsibility after that is to translate text back into speech such that it ha effect of revised transcript,Functionality,NSR
871,user can then upload mri file which will be processed by trained model,Functionality,NSR
872,it is basic software component that is used by database management system to search read and retrieve data from database,Functionality,NSR
873,system shall be responsive not keeping data owner waiting for long time while waiting for it to process their request and respond,Performance,NSR
874,system shall be able to recognize face detected with image,Functionality,NSR
875,cxrs are preprocessed to enhance their quality and reduce noise discussed earlier,Functionality,NSR
876,system shall allow user to view content or dashboard,Authorization,NSR
877,system shall allow user to log into system and authenticated,Authentication,NSR
878,user will record video of maximum mb with camera having specification,Functionality,NSR
879,system shall be interactive and provides help information to help client and give them guidance on how to use system,Usability,NSR
880,system shall be user sociable and make it easy for user to navigate through web material,Usability,NSR
881,video will be sent to server first for preprocessing,Functionality,NSR
882,face encoder will use face detector model dlib library and landmark to detect lip from face and then crop that portion of lip to create sequence of frame,Functionality,NSR
883,roi generator will use frame produced by face encoder to generate roi video,Functionality,NSR
884,system shall be portable in such way that it can be unable on different device with different screen size without difficulty,Portability,NSR
885,system shall allow user to register through sponsorship from relevant human resource,Authorization,NSR
886,text generated by model is converted to audio using python library,Functionality,NSR
887,system shall allow radiologist to compress image using optimized lossless compression method,Performance,NSR
888,our machine learning model will use algorithm to meet our applicationâs need,Functionality,NSR
889,user doctor will then review result and add their remark to it,Functionality,NSR
890,application should have communication feature that allow staff member to communicate with each other,Functionality,NSR
891,output panel is component of app that display generated c code to user,Functionality,NSR
892,system shall allow multiple client to login and save their file to remote server,Performance,NSR
893,setting panel is component of app that allows user to configure various setting,Functionality,NSR
894,system shall be user friendly and easy to use it is based and implemented on website and ha an interactive interface,Usability,NSR
895,help and support component of app provides assistance and guidance to user in using app,Functionality,NSR
896,user should be able to open web application through browser,Functionality,NSR
897,application should also provide feature that allow staff member to manage adoption process for dog,Functionality,NSR
898,system shall allow user to search for resource,Performance,NSR
899,study focus on image processing concept combined with deep learning method,Functionality,NSR
900,user will upload video of maximum mb from file system,Functionality,NSR
901,system ha clearly defined link and button that show various functionality that user may require,Functionality,NSR
902,application should have reporting and analytics feature that provides insight into center operation,Functionality,NSR
903,system shall allow user to do crud operation on record,Functionality,NSR
904,system shall be simple and attractive website with clear presentation of element,Usability,NSR
905,system will work across platform taking advantage of web browser since it will be portal based this entail that egovauth system will be portable long there is internet connectivity,Portability,NSR
906,system shall allow case reported to be recommended to closest police station,Functionality,NSR
907,application should provide inventory management feature that allow staff member to manage supply and equipment,Functionality,NSR
908,system application must be on very high standard server to accommodate huge amount of data and request for access to server from large number of user at same time,Performance,NSR
909,login request will be verified and response will be generated accordingly,Functionality,NSR
910,system shall ensure that once account holder ha provided correct login passwordthey will receive otp or code sent via email or data ownerâs mobile phone,Authentication,NSR
911,user can also download audio from system,Functionality,NSR
912,user patient will be able to download or check their respective result,Functionality,NSR
913,system shall allow user to view statistical report of filter engine and possible source of trouble over period,Functionality,NSR
914,slr application capture video data of sign language gesture using camera,Functionality,NSR
915,there is audio player that user can run to listen to their edits on original audio,Functionality,NSR
916,system shall allow analysis of location prevalent crime using crowdsourced data and report data,Auditing,NSR
917,system will be using local microsoft based certificate thus intention is to ensure availability of certificate authority at all time,Availability,NSR
918,user can edit this text in any way add remove or update and after few step change will be audible in user audio,Functionality,NSR
919,web application should enable user to upload retinal image in various format such jpeg or png,Functionality,NSR
920,to detect indication of diabetic retinopathy in retinal image,Functionality,NSR
921,application should provide diagnosis diseasednondiseased,Functionality,NSR
922,web application should be built using suitable web application framework django,Functionality,NSR
923,mri image will be processed and evaluated under trained model,Functionality,NSR
924,voice synthesis allows for preservation of an actor voice while also translating it into several language,Functionality,NSR
925,user registration and login system allows user to create an account log in and access application feature,Functionality,NSR
926,system shall accommodate high traffic and be able to maximize it performance without glitch since system will be used by nation whole hence user shall be many and using it concurrently,Performance,NSR
927,mobile application should allow center staff to manage dog in their care,Functionality,NSR
928,it consists of various graphical component such menu button and text box that allow user to input flowchart and receive generated c code,Functionality,NSR
929,system shall be able to show section which display last time user logged in system and summary of activity they did on system upon logging in,Auditing,NSR
930,system shall allow user to track case progress on previously reported case,Functionality,NSR
931,flowchart editor is key component of app that allows user to create flowchart diagram,Functionality,NSR
932,application should allow staff member to schedule appointment for dog including medical appointment training session and grooming,Functionality,NSR
933,system shall allow publishing and viewing of wantedmissing person,Functionality,NSR
934,system shall allow local law enforcement agency to track case location of reporter receive crime reported based on reporterâs current location,Functionality,NSR
935,database server is computer program that provides database service to other computer program or terminal defined by clientâserver model,Functionality,NSR
936,audible audio generated by prediction model is displayed on userâs screen along with text,Functionality,NSR
937,system shall be an egovernment content management system,Functionality,NSR
938,system shall implement authentication using pki,Authentication,NSR
939,flowchart renderer is backend component of app that take flowchart diagram created by user,Functionality,NSR
940,code generation engine is component of app that take output of flowchart renderer,Functionality,NSR
941,system shall process file to be moved over to other end of communication channel that is from one machine to other,Functionality,NSR
942,system shall be able to detect face in captured image to see there are human face within image,Functionality,NSR
943,fiâs interface should be displayed,Functionality,NSR
944,po initiate crime case into system and assigns it to fr and fi,Functionality,NSR
945,system shall allow for creation of testbed environment web application andor website that can be tested for penetration testing and hacking where experiment should be conducted,Functionality,NSR
946,list of employee containing stationed fr and fis can be edited and updated by po,Functionality,NSR
947,image taken by fr are fed into system and system automatically generates list of evidence present in photo and store list,Functionality,NSR
948,detail of evidence investigated by fis are entered into system by fis,Functionality,NSR
949,there are explanation of user followed by interaction user shall be able to make with software,Functionality,NSR
950,system shall be able to identify acceptable low false positive rate,Immunity,NSR
951,entry of crime case using fir no is functionality included in police stationâs interface,Functionality,NSR
952,update list of employee function is visible to police station to provide system with list of fr and fis stationed there,Functionality,NSR
953,automated evidence storage in system function involves automation of extraction of information from image taken at crime scene,Functionality,NSR
954,system shall allow result containing list of ip address that have been singled out to be viewable on web based platform,Functionality,NSR
955,system first check whether user is one that is allowed to use system and then it check which class of user it belongs to,Functionality,NSR
956,system shall allow administrator to browse for file within their local system and submit it to analysis platform,Functionality,NSR
957,if searched case number doe not exist display ânot foundâ,Functionality,NSR
958,system shall enable administrator to log into system and to upload captured traffic data into analysis system so to be accessed by any other administrator available,Auditing,NSR
959,when clicked user should be able to add information,Functionality,NSR
960,system shall user to enter url of local host and port for admin panel in browser and proceeds to log in this is provided by django framework,Functionality,NSR
961,on clicking ok button information should be stored on blockchain,Functionality,NSR
962,information is to be displayed to all user,Functionality,NSR
963,system will provide an interface where user will be able to draw their sketch,Functionality,NSR
964,system should generate variation of photorealistic image from provided sketch,Functionality,NSR
965,system will provide good quality online service system will be easy to use since straightforward user interface will be provided,Usability,NSR
966,system should have friendly user interface for ease of use purpose and for better user experience,Usability,NSR
967,content of proposed project should be implemented using python programming language,Portability,NSR
968,system shall have high availability wherever it is needed,Availability,NSR
969,system player locates hidden folder,Functionality,NSR
970,system comprises of different module that operate handinhand to accomplish desired goal,Functionality,NSR
971,system player shall be interact with user using graphical user interface,Usability,NSR
972,input textwhere user will able to give input text,Functionality,NSR
973,system player shall play audio file,Functionality,NSR
974,system player shall rearrange correctly random trimmed song part,Functionality,NSR
975,user will be able to provide recording input,Functionality,NSR
976,on first selecting option âvoiceââ recording will start pressing it again will stop recording and text will appear on textview,Functionality,NSR
977,user will be able to upload text file input,Functionality,NSR
978,system player shall locate and retrieve required content from hidden folder,Functionality,NSR
979,system player shall be sends content into hidden folder,Functionality,NSR
980,once text appears on textview rest of step will be followed in case,Functionality,NSR
981,component and functionality of project are associated with friendly interface design to enhance userâs experience,Usability,NSR
982,text from txt file will appear on textview soon you select file,Functionality,NSR
983,system player fill lookup table with required data,Functionality,NSR
984,system player shall be responsible for hashing trimmed partsâ name,Confidentiality,NSR
985,system downloader shall allow trimming of each song into small part,Functionality,NSR
986,system downloader shall allow downloading of content from server music store,Functionality,NSR
987,report should be delivered in industrystandard format,Portability,NSR
988,user ha to provide either of two input ie audio recording and text to be cloned audio file and text to be cloned,Functionality,NSR
989,if recording is emptyif text is not entered popup will be generated,Functionality,NSR
990,parameter input are supplied using different user friendly input component that ate based on graphical user interface gui concept,Usability,NSR
991,on selecting option âfake content detectionââ user will be directed to screen,Functionality,NSR
992,system shall have short time for data transmission,Performance,NSR
993,user can resubmit generated image with label to change style or orientation of image to their liking,Functionality,NSR
994,main screen open and contains logo navbar and ânextâ button that lead to next pagescreen,Functionality,NSR
995,reader are used to storing id of rfid tag then they help manage login and logout of user from sl through real time firebase database,Functionality,NSR
996,transmit data securely from and to device over network,Functionality,NSR
997,notification hidden from phoneâs notification bar,Functionality,NSR
998,capable of controlling program configuration,Functionality,NSR
999,name of package can be changed to anything,Functionality,NSR
1000,system check and balance of traffic,Functionality,NSR
1001,system must have log on feature limiting individual us to those function they have need to access according to their responsibility,Authorization,NSR
1002,system should be easy to use and also allow quick and flexible mean of entering information for processing and gui based on window architecture should be employed,Usability,NSR
1003,to read tag and track vehicle through electromagnetic wave and send information to esp in arduino ide,Functionality,NSR
1004,system initializes rfid reader by setting up appropriate pin and baud rate,Functionality,NSR
1005,then arduino ide wait for reader to detect rfid tag,Functionality,NSR
1006,use of central database to enable real time data capturing and manipulation to facilitate access to laptop detail from any computer connected to database,Integrity,NSR
1007,user can remotely view and manage contact list of target device,Functionality,NSR
1008,in system that is implemented firebase database is being used backend and help in retrieving and storing data,Functionality,NSR
1009,new system should work very fast in retrieving and updating record,Performance,NSR
1010,reader read tag through rf communication protocol and sends information to esp interface,Functionality,NSR
1011,esp check through database connected to it and available to administrator,Functionality,NSR
1012,database start searching for required information whether it match with sent information or not,Functionality,NSR
1013,system should reduce workload and amount of information to be entered through creating automatic update between related table and query in database,Usability,NSR
1014,system shall be able to increment vehicle count once vehicle enters designated area through toll plaza,Functionality,NSR
1015,system shall be able to read information on tag through reader using rf communication,Functionality,NSR
1016,system should incorporate easier search mechanism that can assist user in retrieving and searching required information,Usability,NSR
1017,system should have userfriendly interface which is easy to use and accommodate all type of impairment such visual impairment,Usability,NSR
1018,run multiple patch on single device user can run multiple patch on single device to perform various operation simultaneously,Functionality,NSR
1019,app enables user to view and send message from target device without physical access to device,Functionality,NSR
1020,system should have high rate of processing work and service rendered,Performance,NSR
1021,system shall have database for storing of user account and particular of registered user,Functionality,NSR
1022,system shall have high throughout which is output relative to input,Performance,NSR
1023,user can upscale generated image,Functionality,NSR
1024,user can generate an extended image which will add some more surroundings to generated image,Functionality,NSR
1025,system will be designed so that it will have short time to respond,Performance,NSR
1026,performance of system will be measured amount of work accomplished by system and manner in which system will function,Performance,NSR
1027,system shall allow traffic data in form of http requestspackets are sent back and forth from client to server during normal service provision,Functionality,NSR
1028,system will stand inbetween client and server however it is associated within serverâs architecture,Maintainability,NSR
1029,system shall allow user to change temporary pin received from system,Functionality,NSR
1030,system shall allow user to search and make selection of nearby device for handshake initiation,Functionality,NSR
1031,system shall allow lookup of registered user if requested by authentication server,Authentication,NSR
1032,developer can embed our engine in their application using our sdk which will be in form of package or module,Functionality,NSR
1033,system should reduce workload and amount of paper work that ha to be filed,Performance,NSR
1034,system shall ensure that authentication server communicate with door controller for opening and closing door,Functionality,NSR
1035,system shall ensure that authentication server interact with database to check for registered user from database,Authentication,NSR
1036,system shall ensure that end user will not experience any significant performance degradation while accessing system wirelessly or remotely compared with access from wired lan,Performance,NSR
1037,system shall ensure device in one odpf area must not communicate with another in different ospf area,Authorization,NSR
1038,user can also generate an image without creating sketch by just label or voice input which will be first converted into label,Functionality,NSR
1039,system shall allow different client to run in different ospf area,Functionality,NSR
1040,authenticated user is redirected to main interface,Functionality,NSR
1041,system must allow client to run separate routing protocol from one in isp network,Survivability,NSR
1042,main purpose of using ra is to make endusers vulnerable and extract information out of their device in order to explicitly use it for own purpose or to spy to eliminate threat,Functionality,NSR
1043,system shall run over mpls network,Functionality,NSR
1044,system module interact with user through graphical user interface eg downloader module is initiated by user through download button at user interface,Usability,NSR
1045,system shall ensure that most of it operation will not be useroriented but will be in background such that only basic operation are required to be known by user such how to purchase song and how to play song,Usability,NSR
1046,system shall be able to detect motion within camera feed and capture and image where motion is detected,Functionality,NSR
1047,server store preprocessed data in database mongodb,Functionality,NSR
1048,client is web browser running on user device user access application through url,Functionality,NSR
1049,system shall provide through database ability to search and find certain competent doctor who can provide help promptly with capability to give feedback to user in case that no doctor is assigned in first place,Functionality,NSR
